Age,Pos,TS%
19,C,0.50425
19,PF,0.4845
19,SF,0.539
19,SG,0.518
20,C,0.5622
20,PF,0.5
20,PG,0.4862
20,SF,0.458
20,SG,0.505333333
21,C,0.5718
21,PF,0.469
21,PG,0.486
21,SF,0.500666667
21,SG,0.5455
22,C,0.5486
22,PF,0.468333333
22,PG,0.463461538
22,SF,0.516785714
22,SG,0.566
23,C,0.58
23,PF,0.519444444
23,PG,0.563363636
23,SF,0.551
23,SG,0.469666667
24,C,0.591307692
24,PF,0.522272727
24,PG,0.487538462
24,SF,0.458571429
24,SG,0.531923077
25,C,0.565333333
25,PF,0.488785714
25,PG,0.487666667
25,SF,0.548666667
25,SG,0.504333333
26,C,0.558230769
26,PF,0.516666667
26,PG,0.5401
26,SF,0.569166667
26,SG,0.498555556
27,C,0.573
27,PF,0.5265625
27,PG,0.5225
27,SF,0.543272727
27,SG,0.487833333
28,C,0.5468
28,PF,0.546727273
28,PG,0.526222222
28,SF,0.546222222
28,SG,0.529857143
29,C,0.5395
29,PF,0.5448
29,PG,0.5482
29,SF,0.5135
29,SG,0.480333333
30,C,0.5936
30,PF,0.528
30,PG,0.5047
30,SF,0.515875
30,SG,0.5655
31,C,0.56
31,PF,0.5547
31,PG,0.564
31,SF,0.515
31,SG,0.534555556
32,C,0.532142857
32,PG,0.5225
32,SF,0.557666667
32,SG,0.416666667
33,C,0.612
33,PF,0.485
33,PG,0.50275
33,SF,0.624
33,SG,0.506
34,C,0.61275
34,PF,0.494
34,PG,0.46075
34,SF,0.494
34,SG,0.509
35,PF,0.49
35,PG,0.506
35,SF,0.542
35,SG,0.5808
36,C,0.557666667
36,PF,0.586
36,SF,0.5569
36,SG,0.526
37,SF,0.38
38,C,0.497
38,PF,0.529
39,SF,0.535
39,SG,0.566
40,SF,0.542
