Age,TS%,3P%,2P%,FT%
19.0,0.509,0.235,0.483,0.707
20.0,0.507,0.309,0.466,0.702
21.0,0.505,0.279,0.495,0.715
22.0,0.514,0.282,0.475,0.672
23.0,0.529,0.317,0.497,0.735
24.0,0.524,0.272,0.52,0.686
25.0,0.515,0.332,0.465,0.73
26.0,0.538,0.284,0.49,0.745
27.0,0.529,0.283,0.483,0.771
28.0,0.54,0.31,0.492,0.771
29.0,0.526,0.311,0.486,0.75
30.0,0.543,0.335,0.471,0.771
31.0,0.542,0.348,0.48,0.768
32.0,0.516,0.258,0.451,0.763
33.0,0.525,0.248,0.584,0.779
34.0,0.526,0.29,0.5,0.744
35.0,0.545,0.35,0.487,0.848
36.0,0.559,0.312,0.498,0.761
37.0,0.38,0.237,0.333,0.625
38.0,0.513,0.189,0.468,0.794
39.0,0.556,0.389,0.437,0.8
40.0,0.542,0.378,0.418,0.765
